ts,temp_c,cpu_freq_mhz,cpu_util_pct,mem_used_pct,power_w,psi_cpu_some_avg10,psi_io_some_avg10,psi_mem_some_avg10
1777109030.207,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109031.221,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109032.229,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109033.238,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109034.248,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109035.264,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109036.273,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109037.283,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109038.291,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109039.300,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109040.311,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109041.318,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109042.326,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1777109043.335,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
